Room,CuriosityRating
Bedroom,3
Library,6
Classroom,2
LivingRoom,7
Gym,2
StorageRoom,6

Room,CuriosityRating
Bedroom,2
Library,6
Classroom,1
LivingRoom,5
Gym,3
StorageRoom,5

