Room,Curiosity,Interest
Gym,5,6
Museum,7,6
LivingRoom,5,8
StorageRoom,8,2
ArtStudio,8,9
Office,6,7
Library,9,7
Kindergarten,6,7
Classroom,5,3
Bedroom,7,9
SPA,10,6
Lounge,7,6
MeetingRoom,6,6
Cafe,7,6
Kitchen,6,6
KTV,7,5

