"Item" "Order" "SubjectNo" "Room"
"MokeExpress" 1 "P13" "Bedroom"
"JBLSpeaker" 2 "P13" "Bedroom"
"Mouse" 3 "P13" "Bedroom"
"NikonCamera" 4 "P13" "Bedroom"
"Spoons" 5 "P13" "Bedroom"
"BaseballBat" 6 "P13" "Bedroom"
"Avocado" 1 "P13" "Classroom"
"MechanicalGloves" 2 "P13" "Classroom"
"Teacup" 3 "P13" "Classroom"
"Paprika" 4 "P13" "Classroom"
"Muffin" 5 "P13" "Classroom"
"Headphones" 6 "P13" "Classroom"
"Toaster" 1 "P13" "Gym"
"MilkCarton" 2 "P13" "Gym"
"Openner" 3 "P13" "Gym"
"Controller" 4 "P13" "Gym"
"Mushroom" 5 "P13" "Gym"
"PencilSharpener" 6 "P13" "Gym"
"Apple" 1 "P13" "Library"
"Padella" 2 "P13" "Library"
"RugbyBall" 3 "P13" "Library"
"Grape" 4 "P13" "Library"
"Squeezer" 5 "P13" "Library"
"CleaningBucket" 6 "P13" "Library"
"PiggyBank" 1 "P13" "LivingRoom"
"OfficeBin" 2 "P13" "LivingRoom"
"EggBeater" 3 "P13" "LivingRoom"
"Cabbaage" 4 "P13" "LivingRoom"
"Kettle" 5 "P13" "LivingRoom"
"Pineapple" 6 "P13" "LivingRoom"
"Calculator" 1 "P13" "StorageRoom"
"SaltSub" 2 "P13" "StorageRoom"
"Typewriter" 3 "P13" "StorageRoom"
"Stapler" 4 "P13" "StorageRoom"
"HTCViveController" 5 "P13" "StorageRoom"
"HandDrill" 6 "P13" "StorageRoom"
