BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,2,9.6,43,Router,Left
2,-7,11.02,49.5,WineBottle,Left
3,-7,9.6,58,Laptop,Left
4,-2.25,9.6,53,RockingHorse,Right
5,6,9.6,51.8,HTCVive,Left
6,1.6,12.55,56.7,Official hat,Right

