Room,Curiosity,Interest
Office,3,4
Kitchen,5,4
StorageRoom,3,3
Classroom,2,2
Kindergarten,7,8
LivingRoom,6,8
Library,6,9
Museum,9,7
MeetingRoom,5,3
Lounge,4,6
ArtStudio,9,9
Cafe,8,8

