Room,OutsideDuration,InsideDuration
Office,12.02153,0.444861
Kitchen,11.09893,0.8650175
StorageRoom,11.49725,2.824517
Classroom,15.29088,1.066873
Kindergarten,26.96843,19.01883
LivingRoom,23.68282,14.26584
Library,21.18832,32.48093
Museum,24.25427,13.72354
MeetingRoom,21.05383,12.19178
Lounge,20.32073,8.431993
ArtStudio,26.29336,20.36553
Cafe,24.2705,21.84879

