"Item" "Order" "SubjectNo" "Room"
"PiggyBank" 1 "P44" "Bedroom"
"Padella" 2 "P44" "Bedroom"
"MokeExpress" 3 "P44" "Bedroom"
"Calculator" 4 "P44" "Bedroom"
"Grape" 5 "P44" "Bedroom"
"Cabbaage" 6 "P44" "Bedroom"
"HTCViveController" 1 "P44" "Classroom"
"Avocado" 2 "P44" "Classroom"
"Muffin" 3 "P44" "Classroom"
"PencilSharpener" 4 "P44" "Classroom"
"Teacup" 5 "P44" "Classroom"
"NikonCamera" 6 "P44" "Classroom"
"Openner" 1 "P44" "Gym"
"Toaster" 2 "P44" "Gym"
"OfficeBin" 3 "P44" "Gym"
"Headphones" 4 "P44" "Gym"
"HandDrill" 5 "P44" "Gym"
"Mouse" 6 "P44" "Gym"
"Kettle" 1 "P44" "Library"
"Paprika" 2 "P44" "Library"
"SaltSub" 3 "P44" "Library"
"MilkCarton" 4 "P44" "Library"
"Apple" 5 "P44" "Library"
"CleaningBucket" 6 "P44" "Library"
"Typewriter" 1 "P44" "LivingRoom"
"BaseballBat" 2 "P44" "LivingRoom"
"MechanicalGloves" 3 "P44" "LivingRoom"
"Pineapple" 4 "P44" "LivingRoom"
"Controller" 5 "P44" "LivingRoom"
"Spoons" 6 "P44" "LivingRoom"
"Mushroom" 1 "P44" "StorageRoom"
"JBLSpeaker" 2 "P44" "StorageRoom"
"Stapler" 3 "P44" "StorageRoom"
"RugbyBall" 4 "P44" "StorageRoom"
"EggBeater" 5 "P44" "StorageRoom"
"Squeezer" 6 "P44" "StorageRoom"
