BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,7,9.6,58,JBLSpeaker,Left
2,7,9.6,50.5,Controller,Left
3,-4,9.6,43,Headphones,Left
4,-7.25,9.6,49.5,Teacup,Right
5,-3,9.6,55,Mouse,Left
6,4.7,11.871,51,PiggyBank,Left

