Room,Object,ObjPos_X,ObjPos_Y,ObjPos_Z
Classroom,Router,-6.950146,0.3,0.7845888
Classroom,FireExtinguisher,7.001926,0.3,15.6342
Classroom,Pinza,-1.708625,0.3,7.319395
Classroom,TennisBall,5.046201,2,8.961292
Classroom,Canister,7.333209,0.3,7.001067
Classroom,Clamps,-3.526922,0.3,13.25262

