SubjectNo	PC_01	PC_02	PC_03	PC_04	PC_05	PC_06	PC_07	PC_08	PC_09	PC_10	PC_11	PC_12	EC_01	EC_02	EC_03	EC_04	EC_05	EC_06	EC_07	EC_08	EC_09	EC_10
P14	4	4	4	4	3	4	3	4	4	4	4	4	4	3	4	2	4	3	3	2	4	1
P13	4	3	4	2	4	4	4	4	3	2	4	3	4	4	3	4	4	3	4	4	3	4
P15	2	2	4	1	3	2	1	1	4	2	4	2	3	3	4	4	4	3	2	3	3	2
P16	2	3	2	3	3	3	2	2	3	3	2	1	2	1	3	3	2	4	3	2	2	3
P17	4	3	3	1	1	2	2	2	2	2	3	2	3	1	2	3	3	4	3	3	3	3
P18	4	4	4	3	1	3	3	2	2	4	4	4	3	3	3	2	3	2	2	2	2	3
P19	3	4	4	2	3	4	3	4	4	4	4	4	3	2	3	2	3	3	4	3	4	3
P20	4	4	4	3	4	4	3	4	4	3	4	4	4	4	4	4	4	4	3	4	4	4
P22	4	4	4	2	1	3	2	4	4	4	4	3	4	3	3	4	4	4	4	3	4	4
P23	3	4	3	1	1	3	4	2	4	3	4	2	3	1	2	3	3	2	3	3	3	2
P24	3	4	4	2	2	4	3	4	4	3	4	3	4	3	4	2	4	3	4	3	4	4
P26	4	4	4	3	4	4	4	3	4	3	4	3	3	2	3	2	4	2	3	2	3	2
P27	4	2	3	3	4	3	3	4	4	3	3	4	1	2	3	3	1	4	4	2	2	4
P28	4	3	4	2	3	3	2	3	4	2	4	1	2	1	3	1	3	3	3	2	3	3
P29	4	3	4	3	4	4	4	4	4	3	4	3	4	2	4	2	4	2	4	2	4	2
P30	4	3	4	3	2	1	4	4	4	4	4	2	4	2	1	3	4	4	4	3	2	4
P31	4	2	4	1	1	2	1	2	4	2	4	2	4	1	2	2	3	2	3	2	2	4
P32	3	2	2	1	3	4	3	4	2	2	3	1	2	2	3	2	4	3	2	3	2	1
P33	3	2	3	2	4	4	2	2	1	3	4	1	4	1	4	2	3	2	4	3	4	4
P34	4	2	3	1	2	3	3	2	3	2	3	2	4	3	3	3	3	3	4	2	4	2
P35	3	4	3	3	2	2	2	3	3	4	3	2	3	2	3	2	3	3	3	2	2	2
P36	2	2	4	3	2	4	2	2	2	3	2	1	3	4	3	3	3	4	3	2	1	2
P37	2	2	4	3	4	2	2	1	2	2	4	1	4	2	4	2	4	2	3	3	3	2
P38	4	4	4	3	4	4	3	3	4	3	4	4	4	2	4	2	4	3	4	2	4	3
P39	3	3	4	2	2	3	3	2	2	3	3	2	3	2	3	2	2	1	2	2	3	1
P40	4	3	4	2	4	4	3	2	4	3	4	1	3	1	4	3	3	4	3	2	2	3
P42	4	3	4	3	2	4	2	3	4	4	4	2	4	3	4	3	4	3	4	4	4	3
P43	3	3	3	4	1	3	2	3	2	3	3	1	2	1	2	2	3	4	2	2	3	2
P44	4	4	4	4	2	4	2	4	4	4	4	3	3	4	2	4	4	4	4	4	3	4
P45	3	4	3	2	1	3	3	2	3	4	3	4	3	4	3	4	4	4	3	4	4	3
P46	4	3	4	3	4	3	4	4	4	3	4	3	3	3	4	3	4	3	4	3	4	2
P47	4	3	3	2	3	4	2	2	3	2	4	2	3	2	2	3	4	3	3	2	3	2
P48	3	2	3	2	4	3	3	3	1	2	3	3	4	2	4	2	4	3	4	2	4	3
P49	4	4	4	3	3	4	2	2	4	2	4	2	3	2	3	2	4	3	4	3	4	2
P50	3	3	4	3	2	3	2	3	2	3	4	3	3	2	3	2	4	2	3	2	3	3
P52	3	3	3	1	1	2	1	2	3	3	4	3	3	2	2	2	3	3	2	2	3	2
P53	2	1	2	1	3	3	2	2	2	2	2	3	1	2	2	2	2	1	1	1	1	2
P55	2	3	3	2	2	3	1	2	2	3	4	2	2	2	3	2	3	4	3	3	2	2
P56	4	3	3	3	3	4	3	3	3	3	4	3	3	4	3	3	4	4	3	4	3	4
P57	3	2	3	1	1	2	1	3	2	2	4	1	2	1	2	1	3	3	3	2	1	2
P58	3	2	3	1	2	2	2	2	2	1	3	1	2	2	2	1	3	3	3	2	2	2
