"Room","Object","ObjPos_X","ObjPos_Y","ObjPos_Z","SubjectNo"
"Gym","NikonCamera",4.311865,0.3,11.2424,"P41"
"Gym","PiggyBank",-3.021874,0.3,15.05895,"P41"
"Gym","MokeExpress",-1.74157,0.3,7.98346,"P41"
"Gym","Headphones",-0.7065821,0.3,0.5819345,"P41"
"Gym","Paprika",-6.773974,0.3,10.95296,"P41"
"Library","RugbyBall",-2.618669,1.3,15.13073,"P41"
"Library","JBLSpeaker",7.736431,0.3,10.93933,"P41"
"Library","PencilSharpener",-0.09908576,1,12.63613,"P41"
"Library","HTCViveController",0.9909549,0.3,4.956651,"P41"
"Library","BaseballBat",-1.496882,2,1.962258,"P41"
"Library","MechanicalGloves",-4.27541,0.3,8.577688,"P41"
"LivingRoom","Openner",6.331358,0.3,13.77854,"P41"
"LivingRoom","Mushroom",3.17949,2,16.22062,"P41"
"LivingRoom","Calculator",-4.413548,0.3,0.7128992,"P41"
"LivingRoom","Mouse",4.437889,0.3,8.671535,"P41"
"LivingRoom","MilkCarton",1.31181,1,1.380077,"P41"
"LivingRoom","Grape",-2.41537,0.3,12.5764,"P41"
"StorageRoom","Typewriter",3.619683,2.3,15.88153,"P41"
"StorageRoom","Apple",-5.910951,0.3,2.56058,"P41"
"StorageRoom","Avocado",-1.938619,5,15.35702,"P41"
"StorageRoom","HandDrill",5.223611,0.3,11.37535,"P41"
"StorageRoom","Kettle",-4.456749,0.3,12.23478,"P41"
"StorageRoom","Cabbaage",1.704519,0.3,6.109902,"P41"
"Bedroom","OfficeBin",-6.791324,1,7.807585,"P42"
"Bedroom","EggBeater",7.333482,0.3,13.97716,"P42"
"Bedroom","CleaningBucket",-6.66715,0.3,16.32435,"P42"
"Bedroom","Teacup",6.390378,1,10.74659,"P42"
"Bedroom","Stapler",1.09605,0.3,15.3511,"P42"
"Bedroom","SaltSub",3.563955,0.3,1.96071,"P42"
"Classroom","Controller",-5.344339,0.3,5.917962,"P42"
"Classroom","Toaster",5.8417,0.3,2.093125,"P42"
"Classroom","Padella",-5.915295,0.3,12.17983,"P42"
"Classroom","Spoons",6.389149,0.3,14.67667,"P42"
"Classroom","Pineapple",4.951921,3,8.195189,"P42"
"Classroom","Squeezer",-3.080473,0.3,13.58971,"P42"
"Gym","Muffin",7.188589,0.3,6.506414,"P42"
"Gym","NikonCamera",-7.820113,0.3,0.7599406,"P42"
"Gym","PiggyBank",-1.361152,0.3,8.128014,"P42"
"Gym","MokeExpress",-7.279979,0.3,11.17831,"P42"
"Gym","Headphones",6.12178,0.3,13.45276,"P42"
"Gym","Paprika",0.5500797,0.3,3.049214,"P42"
"Library","RugbyBall",-0.635267,1,5.096205,"P42"
"Library","JBLSpeaker",7.558851,0.3,16.16598,"P42"
"Library","PencilSharpener",-6.777705,0.3,13.37342,"P42"
"Library","HTCViveController",-6.801308,0.3,4.552019,"P42"
"Library","BaseballBat",4.47666,0.3,11.03839,"P42"
"Library","MechanicalGloves",-3.089478,0.3,11.69172,"P42"
"LivingRoom","Openner",-0.9268894,3,14.96332,"P42"
"LivingRoom","Mushroom",7.479847,0.3,12.35308,"P42"
"LivingRoom","Calculator",-6.297556,0.3,2.034138,"P42"
"LivingRoom","Mouse",-2.930435,0.3,11.01067,"P42"
"LivingRoom","MilkCarton",4.085779,0.3,7.45337,"P42"
"LivingRoom","Grape",-0.7372112,0.3,15.52679,"P42"
"StorageRoom","Typewriter",-0.858161,0.3,4.361331,"P42"
"StorageRoom","Apple",5.113389,0.3,7.407163,"P42"
"StorageRoom","Avocado",1.678509,0.3,6.129371,"P42"
"StorageRoom","HandDrill",5.982348,0.3,12.38144,"P42"
"StorageRoom","Kettle",-6.976704,0.3,2.425481,"P42"
"StorageRoom","Cabbaage",-4.448728,0.3,11.50679,"P42"
