"Room","Object","ObjPos_X","ObjPos_Y","ObjPos_Z","SubjectNo"
"Bedroom","Pinza",5.898408,0.3,10.78923,"P32"
"Bedroom","Router",0.4393484,2,2.152062,"P32"
"Bedroom","BallonDog",-4.346599,0.3,4.47808,"P32"
"Classroom","FirstAidKit",5.052653,0.3,6.406961,"P32"
"Classroom","Clamps",-3.260497,0.3,10.57212,"P32"
"Classroom","Official hat",5.102415,0.3,13.31048,"P32"
"Classroom","CinRoll",-2.954503,0.3,14.08591,"P32"
"Classroom","Toothpaste",15,0.5,5,"P32"
"Classroom","Glasses",-2.15911,1,3.347239,"P32"
"Gym","OldRadio",0.3880822,0.3,10.33953,"P32"
"Gym","WineBottle",-5.10404,0.3,14.57358,"P32"
"Gym","MobilePhone",6.054119,0.3,13.10972,"P32"
"Gym","Recorder",4.428238,0.3,1.075999,"P32"
"Gym","Pumpkin",-7.540326,0.3,1.627443,"P32"
"Gym","MosquitoRacket",7.810826,0.3,7.270553,"P32"
"Library","Basket",-4.847832,0.3,8.298069,"P32"
"Library","Laptop",7.320315,0.3,7.703272,"P32"
"Library","Matrioshka",-7.025862,0.3,13.58496,"P32"
"Library","Hammer",-0.2272096,0.3,8.273506,"P32"
"Library","Microphone",3.218297,0.3,10.44577,"P32"
"Library","PaperCoffeeCup",-5.921618,0.3,1.682562,"P32"
"LivingRoom","ShowerHead",7.756903,0.3,11.78467,"P32"
"LivingRoom","FireExtinguisher",-2.180049,0.3,14.76918,"P32"
"LivingRoom","CokeCan",4.905104,0.3,8.352146,"P32"
"LivingRoom","TennisBall",-3.108745,0.3,10.99094,"P32"
"LivingRoom","Jug",0.1665102,0.3,0.7179604,"P32"
"LivingRoom","StrawberryDonut",-6.376975,0.3,2.805425,"P32"
"StorageRoom","HTCVive",6.506655,0.3,13.36023,"P32"
"StorageRoom","Canister",-4.1012,0.3,1.853478,"P32"
"StorageRoom","NailScissors",3.660564,0.3,9.876589,"P32"
"StorageRoom","CoffeeMachine",-2.148421,0.3,9.460843,"P32"
"StorageRoom","Bread",1.867934,0.3,6.052199,"P32"
"StorageRoom","DeskLight",-5.38807,0.3,11.26732,"P32"
"Bedroom","UGGboot",3.089565,1.3,13.8685,"P33"
"Bedroom","RockingHorse",-3.43738,0.3,9.112468,"P33"
"Bedroom","Chaynik",7.196383,1.3,8.633245,"P33"
"Bedroom","Pinza",-6.874133,5,5.17887,"P33"
"Bedroom","Router",-5.549265,1.3,14.82981,"P33"
"Bedroom","BallonDog",1.266004,1.3,1.070251,"P33"
"Classroom","FirstAidKit",-4.026182,1,14.07953,"P33"
"Classroom","Clamps",6.477074,1.3,10.24054,"P33"
"Classroom","Official hat",5.279671,5,8.303326,"P33"
"Classroom","CinRoll",0.5188288,1.3,8.943827,"P33"
"Classroom","Toothpaste",-4.478972,1.3,0.8343124,"P33"
"Classroom","Glasses",-7.027553,1.3,8.273849,"P33"
"Gym","OldRadio",0.3616604,1.3,9.794118,"P33"
"Gym","WineBottle",-4.03106,1.3,8.474443,"P33"
"Gym","MobilePhone",3.708475,1.3,13.20396,"P33"
"Gym","Recorder",-0.1687873,1.3,1.02246,"P33"
"Gym","Pumpkin",7.881148,0.3,4.56531,"P33"
"Gym","MosquitoRacket",-6.483167,1,3.568781,"P33"
"Library","Basket",4.022883,1,10.50533,"P33"
"Library","Laptop",-4.190806,1.3,9.090464,"P33"
"Library","Matrioshka",-7.361858,2,11.64857,"P33"
"Library","Hammer",-0.5667794,2,5.045509,"P33"
"Library","Microphone",-2.894895,5,2.298517,"P33"
"Library","PaperCoffeeCup",4.068913,1.3,1.304835,"P33"
"LivingRoom","ShowerHead",-2.878359,1.3,11.40707,"P33"
"LivingRoom","FireExtinguisher",-1.08585,1,15.07195,"P33"
"LivingRoom","CokeCan",7.411438,2,15.73284,"P33"
"LivingRoom","TennisBall",-6.390644,1.3,4.278886,"P33"
"LivingRoom","Jug",6.438803,2,10.65424,"P33"
"LivingRoom","StrawberryDonut",7.297924,1.3,7.365861,"P33"
"StorageRoom","HTCVive",-0.185311,1,16.10828,"P33"
"StorageRoom","Canister",-3.611709,3,7.645987,"P33"
"StorageRoom","NailScissors",3.658666,1,15.79719,"P33"
"StorageRoom","CoffeeMachine",-4.834698,1.3,11.37747,"P33"
"StorageRoom","Bread",5.44316,1.3,1.278525,"P33"
"StorageRoom","DeskLight",-4.843688,5,1.159466,"P33"
"Bedroom","UGGboot",7.47008,0.3,7.933536,"P34"
"Bedroom","RockingHorse",-6.543918,2.3,7.445149,"P34"
"Bedroom","Chaynik",4.43431,0.3,5.325747,"P34"
"Bedroom","Pinza",-0.4697551,0.3,3.727427,"P34"
"Bedroom","Router",5.331424,0.3,15.94367,"P34"
"Bedroom","BallonDog",-2.157629,0.3,12.02102,"P34"
"Classroom","FirstAidKit",4.713607,4,8.315071,"P34"
"Classroom","Clamps",-3.183945,0.3,14.75832,"P34"
"Classroom","Official hat",7.327175,0.3,4.228838,"P34"
"Classroom","CinRoll",6.620756,0.3,12.46548,"P34"
"Classroom","Toothpaste",-5.22329,0.3,6.741117,"P34"
"Classroom","Glasses",-5.821051,0.3,0.4619761,"P34"
"Gym","OldRadio",6.42921,0.3,5.052746,"P34"
"Gym","WineBottle",2.22783,0.3,8.095884,"P34"
"Gym","MobilePhone",1.418155,0.3,13.20193,"P34"
"Gym","Recorder",-3.581542,0.3,6.733703,"P34"
