"Item" "Order" "SubjectNo" "Room"
"Kettle" 1 "P30" "Bedroom"
"NikonCamera" 2 "P30" "Bedroom"
"Padella" 3 "P30" "Bedroom"
"MokeExpress" 4 "P30" "Bedroom"
"Headphones" 5 "P30" "Bedroom"
"Apple" 6 "P30" "Bedroom"
"Controller" 1 "P30" "Classroom"
"Mushroom" 2 "P30" "Classroom"
"Cabbaage" 3 "P30" "Classroom"
"EggBeater" 4 "P30" "Classroom"
"HandDrill" 5 "P30" "Classroom"
"Calculator" 6 "P30" "Classroom"
"Pineapple" 1 "P30" "Gym"
"Toaster" 2 "P30" "Gym"
"Avocado" 3 "P30" "Gym"
"Teacup" 4 "P30" "Gym"
"OfficeBin" 5 "P30" "Gym"
"BaseballBat" 6 "P30" "Gym"
"CleaningBucket" 1 "P30" "Library"
"Spoons" 2 "P30" "Library"
"Stapler" 3 "P30" "Library"
"Openner" 4 "P30" "Library"
"Grape" 5 "P30" "Library"
"Typewriter" 6 "P30" "Library"
"Muffin" 1 "P30" "LivingRoom"
"PencilSharpener" 2 "P30" "LivingRoom"
"PiggyBank" 1 "P30" "StorageRoom"
"HTCViveController" 2 "P30" "StorageRoom"
"Mouse" 3 "P30" "StorageRoom"
"Squeezer" 4 "P30" "StorageRoom"
"RugbyBall" 5 "P30" "StorageRoom"
"MilkCarton" 6 "P30" "StorageRoom"
