"Item" "Order" "SubjectNo" "Room"
"RugbyBall" 1 "P81" "Bedroom"
"PiggyBank" 2 "P81" "Bedroom"
"BaseballBat" 3 "P81" "Bedroom"
"NikonCamera" 4 "P81" "Bedroom"
"Kettle" 5 "P81" "Bedroom"
"Apple" 6 "P81" "Bedroom"
"Squeezer" 1 "P81" "Classroom"
"JBLSpeaker" 2 "P81" "Classroom"
"Mushroom" 3 "P81" "Classroom"
"HTCViveController" 4 "P81" "Classroom"
"Controller" 5 "P81" "Classroom"
"Padella" 6 "P81" "Classroom"
"Spoons" 1 "P81" "Gym"
"Muffin" 2 "P81" "Gym"
"CleaningBucket" 3 "P81" "Gym"
"SaltSub" 4 "P81" "Gym"
"Mouse" 5 "P81" "Gym"
"Grape" 6 "P81" "Gym"
"MilkCarton" 1 "P81" "Library"
"MechanicalGloves" 2 "P81" "Library"
"Paprika" 3 "P81" "Library"
"Stapler" 4 "P81" "Library"
"Calculator" 5 "P81" "Library"
"Typewriter" 6 "P81" "Library"
"EggBeater" 1 "P81" "LivingRoom"
"MokeExpress" 2 "P81" "LivingRoom"
"Toaster" 3 "P81" "LivingRoom"
"Cabbaage" 4 "P81" "LivingRoom"
"Openner" 5 "P81" "LivingRoom"
"Teacup" 6 "P81" "LivingRoom"
"OfficeBin" 1 "P81" "StorageRoom"
"HandDrill" 2 "P81" "StorageRoom"
"Avocado" 3 "P81" "StorageRoom"
"Headphones" 4 "P81" "StorageRoom"
"Pineapple" 5 "P81" "StorageRoom"
"PencilSharpener" 6 "P81" "StorageRoom"
