BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,-5.25,9.6,43.75,EggBeater,Right
2,-3.66,9.6,57.675,Padella,Right
3,-3.4,9.6,52.25,CleaningBucket,Right
4,2.2,9.6,49,NikonCamera,Left
5,7,9.6,52,HandDrill,Right
6,7.5,9.6,58,MokeExpress,Left

