"Item" "Order" "SubjectNo" "Room"
"RockingHorse" 1 "P78" "Bedroom"
"CoffeeMachine" 2 "P78" "Bedroom"
"Recorder" 3 "P78" "Bedroom"
"CokeCan" 4 "P78" "Bedroom"
"Router" 5 "P78" "Bedroom"
"WineBottle" 6 "P78" "Bedroom"
"UGGboot" 1 "P78" "Classroom"
"Canister" 2 "P78" "Classroom"
"StrawberryDonut" 3 "P78" "Classroom"
"FirstAidKit" 4 "P78" "Classroom"
"BallonDog" 5 "P78" "Classroom"
"Matrioshka" 6 "P78" "Classroom"
"Pinza" 1 "P78" "Gym"
"MobilePhone" 2 "P78" "Gym"
"Toothpaste" 3 "P78" "Gym"
"NailScissors" 4 "P78" "Gym"
"TennisBall" 5 "P78" "Gym"
"Official hat" 6 "P78" "Gym"
"Clamps" 1 "P78" "Library"
"FireExtinguisher" 2 "P78" "Library"
"Jug" 3 "P78" "Library"
"MosquitoRacket" 4 "P78" "Library"
"Pumpkin" 5 "P78" "Library"
"DeskLight" 6 "P78" "Library"
"HTCVive" 1 "P78" "LivingRoom"
"Bread" 2 "P78" "LivingRoom"
"ShowerHead" 3 "P78" "LivingRoom"
"Microphone" 4 "P78" "LivingRoom"
"OldRadio" 5 "P78" "LivingRoom"
"CinRoll" 6 "P78" "LivingRoom"
"Glasses" 1 "P78" "StorageRoom"
"Chaynik" 2 "P78" "StorageRoom"
"Hammer" 3 "P78" "StorageRoom"
"Basket" 4 "P78" "StorageRoom"
"Laptop" 5 "P78" "StorageRoom"
"PaperCoffeeCup" 6 "P78" "StorageRoom"
