Room,Curiosity,Interest
KTV,9,6
Classroom,6,9
StorageRoom,9,3
Museum,8,8
Bedroom,5,9
Lounge,6,7
Kindergarten,8,8
Library,4,7
Office,3,5
LivingRoom,6,6
ArtStudio,9,9
MeetingRoom,4,3
Cafe,7,4
Gym,6,6
SPA,5,8
Kitchen,8,7

