BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,3.5,9.6,43,ShowerHead,Right
2,5,9.6,48,NailScissors,Left
3,7.5,9.6,54.5,Router,Left
4,3.5,11.2,58.5,Hammer,Left
5,-4.75,9.6,53.5,BallonDog,Right
6,-7.5,9.6,44,Official hat,Left

