Object,Scene,Response,Rt
Avocado,None,New,5.433399
Chips,Lounge,New,5.333445
Muffin,Cafe,Seen,2.800005
Caiban,Kindergarten,Seen,1.766773
Ketchup,Lounge,Familiar,4.033245
BallonDog,Library,New,3.583504
CokeBottle_FLIPPED,KTV,Seen,3.983475
Deer,Cafe,Seen,2.266743
NikonCamera,LivingRoom,Familiar,2.666927
MokaEspress,Lounge,Seen,2.333416
Toothpaste,MeetingRoom,Seen,3.933365
Suitcase,Office,New,1.783615
MechanicalGloves,None,New,1.433281
Marmite_FLIPPED,SPA,Seen,1.933395
Oranges,StorageRoom,Seen,1.566788
MilkCarton,Classroom,Familiar,2.949951
Lotion,Bedroom,Seen,3.366699
BirdCage,None,Familiar,2.633347
FirstAidKit_FLIPPED,Bedroom,Seen,1.283501
MetalBucket,None,Seen,2.583374
Basketball,None,Seen,1.683434
Mouse,LivingRoom,New,1.850044
Wheels,MeetingRoom,New,1.083588
Cabbaage,None,Seen,3.533516
OfficeBin,None,New,1.40004
PiggyBank,SPA,Seen,1.516792
Leaf,Gym,Familiar,4.816734
Toaster,Lounge,Familiar,2.583427
Padella,Museum,Familiar,2.466606
Kiwi,None,New,2.266693
AmazonEcho,None,New,2.150314
Cake,Museum,Seen,1.266571
PeanutButter,None,Familiar,2.500259
Kela,None,New,2.383514
Clamps,Gym,Seen,1.700134
Clock,None,Familiar,3.30011
RockingHorse,Museum,Seen,1.449997
Mango,MeetingRoom,Seen,1.233582
OldRadio,Office,New,3.416718
Pineapple,KTV,Familiar,3.900238
Coconut,ArtStudio,Seen,1.400192
CleaningBucket,Office,New,1.433456
Pears,SPA,Seen,1.766907
IceBoots,Library,Familiar,4.833496
Icecream,SPA,Seen,1.967026
FireExtinguisher_FLIPPED,Cafe,Seen,1.683533
Car02,None,Familiar,2.85144
Candle Lattern,MeetingRoom,Familiar,1.90065
Burger,None,Seen,3.633652
PaperCoffeeCup,Museum,New,1.533295
Apple,Kindergarten,Seen,1.916931
Paprika,Classroom,New,1.466766
Pomegranate,Kindergarten,New,1.383286
Cocktail,None,New,3.616837
Squeezer,Museum,Familiar,2.350006
RetroFan,StorageRoom,Seen,1.766907
Sandals,None,New,1.533401
Printer,Kitchen,New,1.933395
Pumpkin,StorageRoom,Seen,1.216934
HTCVive,Classroom,Familiar,3.900116
Glasses,None,New,1.550018
FacialCream_FLIPPED,Classroom,Seen,2.300079
HTCViveController,None,Familiar,1.750397
Calculator_FLIPPED,KTV,New,3.133331
FireHydrant,None,Seen,1.683411
BaseballBat,LivingRoom,Seen,6.116684
RugbyBall,Gym,Seen,1.033478
Openner,Office,Seen,1.316772
Router,KTV,New,1.333496
Basket,ArtStudio,Familiar,1.983368
RoadCone,Kitchen,Seen,1.916718
Stapler,Library,Seen,1.566956
Pinza,Bedroom,Seen,1.866791
Banana,None,Seen,2.966766
Bus,Museum,Familiar,1.900909
Cupcake,Library,Familiar,2.183533
Scent,None,New,2.000122
YellowDuck,None,New,2.200195
Canister,None,New,2.616791
PaintBucket,Cafe,Familiar,6.249969
HandDrill,None,Seen,2.85022
Vanish,MeetingRoom,Seen,1.266815
Car01_FLIPPED,Office,New,4.017242
StrawberryDonut,None,New,1.066895
Jug,None,New,1.350128
Broccoli,Library,New,1.616882
Cube,None,Familiar,1.666809
Skateboard,None,Seen,1.950073
Dog,Kitchen,Seen,3.933289
Cucumber,Lounge,Seen,1.100006
Markers,ArtStudio,Seen,1.100861
CandyBar,Classroom,Seen,1.117035
TennisBall,MeetingRoom,Seen,2.216827
Cheese,None,Familiar,1.800171
Strawberries,LivingRoom,Familiar,6.35022
MosquitoRacket,None,New,7.450226
Perrier,Bedroom,New,5.433441
ToothBrush,None,New,2.800018
Tide,Kindergarten,Familiar,1.850037
Official hat,Bedroom,Seen,2.233368
UGGboot,None,New,1.583496
Watermelon,None,Seen,1.116699
DeskLight,KTV,Seen,1.41684
Cereal,Gym,Seen,1.616638
Ganmianzhang,None,Seen,0.8999634
Headphones,None,New,1.43338
CoffeeMachine,Kitchen,Seen,1.234009
Laptop,Office,Familiar,1.703094
LegoTruck,SPA,New,2.984192
Chaynik,Kindergarten,New,1.116852
CacerolaPan,ArtStudio,Familiar,3.283386
Recorder,None,Seen,1.849915
Carrots,Kitchen,Familiar,2.383331
NailScissors,None,Familiar,1.183411
Brush,Classroom,Seen,1.766907
PencilSharpener,Gym,Seen,2.233704
BandShell,None,New,1.266693
SecurityCam,Lounge,Seen,1.36676
Jam,SPA,New,1.334656
ShowerHead,None,New,2.533508
Typewriter,None,Seen,2.333405
Weimeng,None,Seen,1.600281
Kettle,Library,Familiar,2.033691
Teacup,Kitchen,Seen,1.10022
RasberryJam_FLIPPED,LivingRoom,Seen,1.483612
Grape,ArtStudio,Familiar,1.70047
Mushroom,LivingRoom,Familiar,3.466919
Matrioshka,None,New,3.400299
JBLSpeaker,StorageRoom,Familiar,5.366669
Flower,None,New,2.500061
Garlic,Gym,New,1.833252
Spoons,None,New,2.000153
EggBeater,ArtStudio,Seen,3.233368
FiellaCase,Kindergarten,Familiar,5.750153
Shoe,StorageRoom,Seen,1.650146
Downy,KTV,Familiar,3.816772
SaltSub,None,New,4.383698
Xmas Globe,Bedroom,New,1.884155
CoffeePot,None,Familiar,2.049927
MobilePhone,Cafe,Seen,2.366821
Honey,None,Familiar,2.299988
Hammer,StorageRoom,Seen,1.16687
CinRoll,Cafe,Seen,1.133545
Slippers,None,New,1.550232

