"Item" "Order" "SubjectNo" "Room"
"EggBeater" 1 "P27" "Bedroom"
"Avocado" 2 "P27" "Bedroom"
"Teacup" 3 "P27" "Bedroom"
"Mouse" 4 "P27" "Bedroom"
"PencilSharpener" 5 "P27" "Bedroom"
"Grape" 6 "P27" "Bedroom"
"BaseballBat" 1 "P27" "Classroom"
"CleaningBucket" 2 "P27" "Classroom"
"Stapler" 3 "P27" "Classroom"
"Calculator" 4 "P27" "Classroom"
"Spoons" 5 "P27" "Classroom"
"Typewriter" 6 "P27" "Classroom"
"Pineapple" 1 "P27" "Gym"
"Mushroom" 2 "P27" "Gym"
"JBLSpeaker" 3 "P27" "Gym"
"HandDrill" 4 "P27" "Gym"
"Padella" 5 "P27" "Gym"
"MokeExpress" 6 "P27" "Gym"
"Cabbaage" 1 "P27" "Library"
"Paprika" 2 "P27" "Library"
"Kettle" 3 "P27" "Library"
"SaltSub" 4 "P27" "Library"
"Muffin" 5 "P27" "Library"
"Toaster" 6 "P27" "Library"
"PiggyBank" 1 "P27" "LivingRoom"
"Squeezer" 2 "P27" "LivingRoom"
"HTCViveController" 3 "P27" "LivingRoom"
"MechanicalGloves" 4 "P27" "LivingRoom"
"OfficeBin" 5 "P27" "LivingRoom"
"NikonCamera" 6 "P27" "LivingRoom"
"Controller" 1 "P27" "StorageRoom"
"RugbyBall" 2 "P27" "StorageRoom"
"Headphones" 3 "P27" "StorageRoom"
"MilkCarton" 4 "P27" "StorageRoom"
"Apple" 5 "P27" "StorageRoom"
"Openner" 6 "P27" "StorageRoom"
