"Room" "Object" "Order"
"Bedroom" "Mouse" 1
"Bedroom" "Spoons" 2
"Bedroom" "Muffin" 3
"Bedroom" "PencilSharpener" 4
"Bedroom" "RugbyBall" 5
"Bedroom" "MechanicalGloves" 6
"Classroom" "Toaster" 1
"Classroom" "Cabbaage" 2
"Classroom" "SaltSub" 3
"Classroom" "Kettle" 4
"Classroom" "MilkCarton" 5
"Classroom" "Paprika" 6
"Gym" "Pineapple" 1
"Gym" "Typewriter" 2
"Gym" "Padella" 3
"Gym" "BaseballBat" 4
"Gym" "Grape" 5
"Gym" "NikonCamera" 6
"Library" "Openner" 1
"Library" "Headphones" 2
"Library" "OfficeBin" 3
"Library" "PiggyBank" 4
"Library" "Mushroom" 5
"Library" "Calculator" 6
"LivingRoom" "Controller" 1
"LivingRoom" "EggBeater" 2
"LivingRoom" "HTCViveController" 3
"LivingRoom" "Stapler" 4
"LivingRoom" "Apple" 5
"LivingRoom" "HandDrill" 6
"StorageRoom" "MokeExpress" 1
"StorageRoom" "Squeezer" 2
"StorageRoom" "Teacup" 3
"StorageRoom" "JBLSpeaker" 4
"StorageRoom" "Avocado" 5
"StorageRoom" "CleaningBucket" 6
