Room,OutsideDuration,InsideDuration
Bedroom,22.79696,189.8592
LivingRoom,22.50978,104.2986
Gym,21.47667,74.92091
Library,21.56809,81.33857
Classroom,21.79655,93.95308
StorageRoom,22.56924,62.34377
