Room,OutsideDuration,InsideDuration
LivingRoom,23.7599,188.3221
Classroom,22.14815,77.48094
Library,26.35352,205.3221
Bedroom,24.1452,86.98476
StorageRoom,33.18164,63.91952
Gym,29.33921,61.83671

