BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,-7.5,9.6,44,Glasses,Right
2,-4.75,9.6,53.5,Official hat,Left
3,3.5,11.2,58.5,FireExtinguisher,Right
4,7.5,9.6,54.5,OldRadio,Left
5,5,9.6,48,MobilePhone,Right
6,3.5,9.6,43,Hammer,Right

