"SubjectNo" "ItemOrderType" "CuriosityRatingType" "Accuracy" "SeenHit" "ContextAccuracy"
"P39" "Late" "High" 0.833333333333333 0.5 0.333333333333333
"P39" "Early" "High" 0.916666666666667 0.916666666666667 0.416666666666667
"P39" "Early" "Low" 1 1 0
"P39" "Late" "Low" 1 0.333333333333333 0
"P40" "Early" "High" 0.888888888888889 0.666666666666667 0.666666666666667
"P40" "Late" "High" 0.888888888888889 0.444444444444444 0
"P40" "Early" "Low" 0.777777777777778 0.555555555555556 0.222222222222222
"P40" "Late" "Low" 0.777777777777778 0.666666666666667 0.333333333333333
"P41" "Late" "Low" 0.833333333333333 0.166666666666667 0.166666666666667
"P41" "Early" "Low" 0.833333333333333 0.5 0
"P41" "Late" "High" 0.555555555555556 0.222222222222222 0.111111111111111
"P41" "Early" "High" 0.777777777777778 0.333333333333333 0.111111111111111
"P42" "Early" "Low" 1 0.777777777777778 0.222222222222222
"P42" "Late" "Low" 0.888888888888889 0.777777777777778 0.444444444444444
"P42" "Late" "High" 1 1 0.333333333333333
"P42" "Early" "High" 1 1 0.5
"P43" "Late" "High" 1 0.866666666666667 0.333333333333333
"P43" "Early" "High" 1 0.933333333333333 0.6
"P44" "Late" "High" 0.888888888888889 0.555555555555556 0.111111111111111
"P44" "Early" "High" 0.777777777777778 0.333333333333333 0.333333333333333
"P44" "Late" "Low" 0.666666666666667 0.333333333333333 0.333333333333333
"P44" "Early" "Low" 1 0.333333333333333 0.333333333333333
"P45" "Early" "High" 0.666666666666667 0.583333333333333 0.166666666666667
"P45" "Late" "High" 0.5 0.25 0.25
